site_id,lon,lat
01073002388101,-86.815,33.553056
01073100588101,-87.003611,33.331111
01073101088101,-86.549167,33.545278
01073200388101,-86.924167,33.499722
01073205988101,-86.844112,33.521427
01089001488101,-86.58816,34.68547
04001123588101,-109.438003,35.880404
04003100588101,-109.539683,31.3492
04013999788101,-112.095767,33.503833
04019001188101,-111.038389,32.322661
04019102888101,-110.9823,32.29515
04021000188101,-111.752222,32.877583
04021300288101,-111.503222,33.421194
04021301588101,-112.03705,32.884761
04023000488101,-110.936718,31.337204
04027801188101,-114.61444,32.690278
05001001188101,-91.55896,34.518515
05035000588101,-90.193141,35.197288
05051000388101,-93.000178,34.469441
05113000288101,-94.226234,34.583699
05119000788101,-92.281296,34.756189
05119100888101,-92.328697,34.681343
05143000588101,-94.116827,36.1797
06001000788101,-121.784217,37.687526
06001000988101,-122.169935,37.743065
06001001188101,-122.282347,37.814781
06001001288101,-122.263376,37.793624
06011000788101,-122.281803,39.021221
06013000288101,-122.026154,37.936013
06013100488101,-122.356811,37.9604
06019050088101,-119.658339,36.985119
06019200988101,-120.382331,36.634225
06019502588101,-119.733,36.72639
06023100588101,-124.20139,40.71528
06025000788101,-115.53917,32.97833
06025100388101,-115.56306,32.79222
06027000288101,-118.330783,37.360684
06027100388101,-117.871036,36.487823
06029001088101,-119.015009,35.385574
06029001188101,-118.147294,35.050551
06029001588101,-117.67296,35.62109
06037000288101,-117.92391,34.1365
06037110388101,-118.22688,34.06659
06037120188101,-118.53276,34.19925
06037130288101,-118.205,33.901389
06037200588101,-118.1272,34.1326
06037400288101,-118.18921,33.82376
06037400488101,-118.17533,33.79236
06039201088101,-120.034203,36.953256
06041000188101,-122.520004,37.97231
06045000688101,-123.20655,39.15047
06045200288101,-123.35264,39.41174
06051000188101,-118.96652,37.64571
06055000388101,-122.296189,38.310942
06059000788101,-117.93845,33.83062
06059202288101,-117.67593,33.63003
06063101088101,-120.47069,39.81336
06065000988101,-117.088649,33.447867
06065200288101,-116.21537,33.70853
06065500188101,-116.54101,33.85275
06065800188101,-117.41601,33.99958
06067000688101,-121.368014,38.613779
06067001288101,-121.164457,38.683304
06067001588101,-121.503795,38.593322
06067500388101,-121.211131,38.494475
06071002788101,-117.61722,34.030833
06071200288101,-117.49201,34.10002
06073101188101,-116.365203,32.725226
06073120188101,-117.09023,33.362593
06075000588101,-122.399044,37.765946
06077100288101,-121.268523,37.950741
06079200488101,-120.56388,35.02083
06079800288101,-120.66617,35.49453
06081100188101,-122.20337,37.482934
06083001188101,-119.691218,34.427775
06083200488101,-120.4575,34.63782
