"fileId","link","size"
2951071921,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/004/MOD06_L2.A2018004.1700.061.2018005021233.hdf",94995449
2951325023,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/004/MOD06_L2.A2018004.1840.061.2018005074132.hdf",58234765
2951327391,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/004/MOD06_L2.A2018004.1835.061.2018005074337.hdf",103603454
2951331234,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/004/MOD06_L2.A2018004.2010.061.2018005074732.hdf",118427340
2951338592,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/004/MOD06_L2.A2018004.2015.061.2018005075429.hdf",156438296
2955190029,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1735.061.2018006014408.hdf",62480423
2955194949,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1745.061.2018006015232.hdf",43790571
2955196068,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1430.061.2018006015444.hdf",97414741
2955196762,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1740.061.2018006015626.hdf",113339374
2955198545,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1600.061.2018006015817.hdf",146728382
2955201312,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1605.061.2018006020126.hdf",129378934
2955202406,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1425.061.2018006020353.hdf",146608013
2955202985,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1420.061.2018006020440.hdf",166579965
2955389613,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1915.061.2018006080445.hdf",124534204
2955392005,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1925.061.2018006080756.hdf",151128089
2955393438,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.1920.061.2018006080846.hdf",136283077
2955395119,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/005/MOD06_L2.A2018005.2055.061.2018006081046.hdf",153147038
2965556995,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1825.061.2018009172650.hdf",136542118
2965688763,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1505.061.2018009173503.hdf",168240062
2965689196,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1510.061.2018009173600.hdf",151454448
2967201467,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1640.061.2018009184726.hdf",80732980
2967256790,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1820.061.2018009185221.hdf",133264635
2967264901,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1650.061.2018009185614.hdf",89939589
2967268500,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1830.061.2018009185903.hdf",102793297
2967270973,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.1645.061.2018009185912.hdf",86938157
2967276831,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.2000.061.2018009190243.hdf",161209803
2967281263,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/006/MOD06_L2.A2018006.2005.061.2018009190404.hdf",138465216
2968345709,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1405.061.2018009210847.hdf",105226474
2968348277,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1545.061.2018009211242.hdf",107757812
2968348278,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1735.061.2018009211256.hdf",65408035
2968348762,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1415.061.2018009211345.hdf",93254115
2968350402,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1725.061.2018009211545.hdf",138081048
2968476970,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1550.061.2018009212023.hdf",148158568
2968478273,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1905.061.2018009212140.hdf",139519616
2968479564,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1730.061.2018009212230.hdf",130144735
2968479617,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1945.061.2018009212300.hdf",108920404
2968480808,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1555.061.2018009212335.hdf",137737324
2968480816,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1640.061.2018009212331.hdf",92891527
2968481943,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1410.061.2018009212432.hdf",160023616
2968481945,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1915.061.2018009212430.hdf",127234680
2968483318,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.2045.061.2018009212515.hdf",122684486
2968484411,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1450.061.2018009212618.hdf",138061252
2968484413,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1810.061.2018009212641.hdf",139255914
2968485458,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1630.061.2018009212739.hdf",142723862
2968486566,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/007/MOD06_L2.A2018007.1910.061.2018009212835.hdf",158245584
2968486575,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1500.061.2018009212826.hdf",111681217
2968486656,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1635.061.2018009212850.hdf",144232668
2968489128,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1815.061.2018009213016.hdf",126787597
2968489129,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1955.061.2018009213011.hdf",104171758
2968490448,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.2125.061.2018009213146.hdf",124704303
2968492341,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1455.061.2018009213342.hdf",160626530
2968492342,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/008/MOD06_L2.A2018008.1950.061.2018009213333.hdf",150708808
2969793777,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1710.061.2018010015316.hdf",80222806
2969800188,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1720.061.2018010015926.hdf",69884789
2969806517,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1715.061.2018010020429.hdf",135752807
2969807954,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1405.061.2018010020531.hdf",118478964
2969809312,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1535.061.2018010020636.hdf",149533871
2969812711,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1400.061.2018010020951.hdf",129401421
2969812712,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1540.061.2018010020941.hdf",152093645
2974431542,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1850.061.2018010195624.hdf",127348458
2974464559,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.2030.061.2018010201647.hdf",146998348
2974497116,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1855.061.2018010203633.hdf",148080788
2974509543,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/009/MOD06_L2.A2018009.1900.061.2018010204014.hdf",142161410
2974853291,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1615.061.2018011015432.hdf",104104469
2974856641,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1755.061.2018011015711.hdf",129562182
2974860415,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1625.061.2018011015927.hdf",105515634
2974861578,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1620.061.2018011020048.hdf",138740019
2974863939,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1445.061.2018011020237.hdf",116919206
2974866237,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1440.061.2018011020443.hdf",157602254
2975216007,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1805.061.2018011074715.hdf",85360323
2975216923,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1800.061.2018011074827.hdf",123314203
2975223610,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1940.061.2018011075500.hdf",135329431
2975224797,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1935.061.2018011075554.hdf",147022971
2975226045,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/010/MOD06_L2.A2018010.1945.061.2018011075655.hdf",141004335
2978585759,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1710.061.2018012015314.hdf",55735678
2978592874,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1700.061.2018012015801.hdf",139714692
2978596852,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1705.061.2018012020107.hdf",137523324
2978600298,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1520.061.2018012020230.hdf",133672992
2978604167,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1525.061.2018012020522.hdf",147370135
2978604168,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1530.061.2018012020505.hdf",137098468
2978949215,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1840.061.2018012080656.hdf",131684466
2978952585,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1850.061.2018012081045.hdf",129762743
2978953818,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.1845.061.2018012081146.hdf",110475041
2978959470,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/011/MOD06_L2.A2018011.2020.061.2018012081543.hdf",162652565
2980071478,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1750.061.2018013020359.hdf",40540559
2980072168,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1745.061.2018013020544.hdf",110452030
2980073592,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1615.061.2018013020803.hdf",99046817
2980075786,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1435.061.2018013021032.hdf",118099807
2980078891,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1605.061.2018013021258.hdf",148261493
2980082047,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1430.061.2018013021519.hdf",138361429
2980082234,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1425.061.2018013021551.hdf",155474288
2980082815,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1610.061.2018013021652.hdf",149091821
2980758709,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1920.061.2018013075858.hdf",81777231
2980771947,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.2100.061.2018013080924.hdf",122432635
2980773389,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1930.061.2018013081059.hdf",130536757
2980775976,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/012/MOD06_L2.A2018012.1925.061.2018013081232.hdf",153179721
2981956375,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1650.061.2018014020456.hdf",114868530
2981961405,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1515.061.2018014020849.hdf",99692395
2981963246,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1655.061.2018014020928.hdf",107925193
2981963325,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1520.061.2018014021006.hdf",126634519
2981972330,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1510.061.2018014021353.hdf",164231770
2982526845,"https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/61/MOD06_L2/2018/013/MOD06_L2.A2018013.1825.061.2018014075156.hdf",82239708
