name,year,folder,filename
nlcd,2019,/Volumes/set/Projects/NRT-AP-Model/input/nlcd/raw/,nlcd_2019_land_cover_l48_20210604.tif
nlcd,2021,/Volumes/set/Projects/NRT-AP-Model/input/nlcd/raw/,nlcd_2021_land_cover_l48_20230630.tif
hms_smoke,,/Volumes/set/Projects/NRT-AP-Model/input/HMS_Smoke/,hms_smoke_2018_2022.zip
koppen_geiger,,/Volumes/set/Projects/NRT-AP-Model/input/koppen_geiger/raw/,Beck_KG_V1_present_0p0083.tif
ecoregion,,/Volumes/set/Projects/NRT-AP-Model/input/ecoregions/raw/,us_eco_14.shp
nighttime_lights,,/Volumes/set/Projects/NRT-AP-Model/input/modis/raw/5000/VNP46A2/yyyy/yday/,
land_aod,,/Volumes/set/Projects/NRT-AP-Model/input/modis/raw/61/MCD19A2/yyyy/yday/,
surf_refl,,/Volumes/set/Projects/NRT-AP-Model/input/modis/raw/61/MOD09GA/yyyy/yday/,
lst_emi,,/Volumes/set/Projects/NRT-AP-Model/input/modis/raw/61/MOD11A1/yyyy/yday/,
vi,,/Volumes/set/Projects/NRT-AP-Model/input/modis/raw/61/MOD13A2/yyyy/yday/,
chm_tavg,,/Volumes/set/Projects/NRT-AP-Model/input/geos/chm_tavg_1hr_g1440x721_v1/,GEOS-CF.v01.rpl.chm_tavg_1hr_g1440x721_v1.yyyymmdd_HH30z.nc4
aqc_tavg,,/Volumes/set/Projects/NRT-AP-Model/input/geos/aqc_tavg_1hr_g1440x721_v1/,GEOS-CF.v01.rpl.aqc_tavg_1hr_g1440x721_v1.yyyymmdd_HH30z.nc4
aqs,,/Volumes/set/Projects/NRT-AP-Model/input/aqs/,daily_88101_yyyy.csv
air_sfc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/air.sfc/,air.sfc.yyyy.nc
albedo,,/Volumes/set/Projects/NRT-AP-Model/input/narr/albedo/,albedo.yyyy.nc
apcp,,/Volumes/set/Projects/NRT-AP-Model/input/narr/apcp/,apcp.yyyy.nc
dswrf,,/Volumes/set/Projects/NRT-AP-Model/input/narr/dswrf/,dswrf.yyyy.nc
evap,,/Volumes/set/Projects/NRT-AP-Model/input/narr/evap/,evap.yyyy.nc
hcdc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/hcdc/,hcdc.yyyy.nc
hpbl,,/Volumes/set/Projects/NRT-AP-Model/input/narr/hpbl/,hpbl.yyyy.nc
lcdc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/lcdc/,lcdc.yyyy.nc
lhtfl,,/Volumes/set/Projects/NRT-AP-Model/input/narr/lhtfl/,lhtfl.yyyy.nc
mcdc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/mcdc/,mcdc.yyyy.nc
omega,,/Volumes/set/Projects/NRT-AP-Model/input/narr/omega/,omega.yyyymm.nc
pr_wtr,,/Volumes/set/Projects/NRT-AP-Model/input/narr/pr_wtr/,pr_wtr.yyyy.nc
prate,,/Volumes/set/Projects/NRT-AP-Model/input/narr/prate/,prate.yyyy.nc
pres_sfc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/pres.sfc/,pres.sfc.yyyy.nc
shtfl,,/Volumes/set/Projects/NRT-AP-Model/input/narr/shtfl/,shtfl.yyyy.nc
shum,,/Volumes/set/Projects/NRT-AP-Model/input/narr/shum/,shum.yyyymm.nc
snowc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/snowc/,snowc.yyyy.nc
soilm,,/Volumes/set/Projects/NRT-AP-Model/input/narr/soilm/,soilm.yyyy.nc
tcdc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/tcdc/,tcdc.yyyy.nc
ulwrf_sfc,,/Volumes/set/Projects/NRT-AP-Model/input/narr/ulwrf.sfc/,ulwrf.sfc.yyyy.nc
uwnd_10m,,/Volumes/set/Projects/NRT-AP-Model/input/narr/uwnd.10m/,uwnd.10m.yyyy.nc
vis,,/Volumes/set/Projects/NRT-AP-Model/input/narr/vis/,vis.yyyy.nc
vwnd_10m,,/Volumes/set/Projects/NRT-AP-Model/input/narr/vwnd.10m/,vwnd.10m.yyyy.nc
weasd,,/Volumes/set/Projects/NRT-AP-Model/input/narr/weasd/,weasd.yyyy.nc
